Query,Rank,Title,DocID,Score,URL
fidgety child unable to sit still,1,Toddler Won't Sit on the Potty? Try This. - Motherly,149,37.00221634,https://www.mother.ly/toddler/toddler-milestones/potty-training-tips/
fidgety child unable to sit still,2,Common Time-Out Mistakes and How to Solve Them,25,35.48847961,https://www.parents.com/toddlers-preschoolers/discipline/time-out/common-time-out-mistakes-and-how-to-solve-them/
fidgety child unable to sit still,3,Some Kids Really Are More Difficult—Here's Why It Happens and How to Deal,180,35.32618332,https://www.parents.com/toddlers-preschoolers/discipline/some-kids-really-are-more-difficult-heres-why-it-happens-and-how-to-deal/
child is forgetful in daily activities,1,Avoid a tantrum by empowering your child—6 strategies to try,167,40.67823029,https://www.mother.ly/child/child-milestones/how-to-avoid-tantrum-empowering-child/
child is forgetful in daily activities,2,,116,39.69630432,https://healthychildren.org/English/ages-stages/gradeschool/Pages/How-to-Understand-Your-Childs-Temperament.aspx
child is forgetful in daily activities,3,How to Build Your Child's Confidence and Self-Esteem - Child Development Institute,68,39.41313171,https://childdevelopmentinfo.com/parenting/how-to-build-your-childs-confidence-and-self-esteem/
child disregards rules,1,,80,29.01858711,https://www.healthychildren.org/English/ages-stages/gradeschool/Pages/The-Disobedient-Child.aspx
child disregards rules,2,What to Do If a Child Won't Respond to Rules or Consequences | Psychology Today,6,29.01858711,https://www.psychologytoday.com/us/blog/all-grown/201808/what-do-if-child-wont-respond-rules-or-consequences
child disregards rules,3,,80,25.63574409,https://www.healthychildren.org/English/ages-stages/gradeschool/Pages/The-Disobedient-Child.aspx
child not falling asleep in own bed,1,How to Sleep Train Toddlers and Big Kids,188,25.07182503,https://www.parents.com/toddlers-preschoolers/sleep/issues/how-to-sleep-train-toddlers-and-big-kids/
child not falling asleep in own bed,2,When my ‘good sleeper’ suddenly couldn’t fall asleep—I was the answer,165,23.96660233,https://www.mother.ly/parenting/when-my-good-sleeper-suddenly-couldnt-fall-asleepi-was-the-answer/
child not falling asleep in own bed,3,Solutions for Kids' Sleep Problems,189,19.50909424,https://www.parents.com/toddlers-preschoolers/sleep/issues/solutions-for-kids-sleep-problems/
bedwetting in school age children,1,,74,28.60469437,https://www.healthychildren.org/English/ages-stages/toddler/toilet-training/Pages/Bedwetting.aspx
bedwetting in school age children,2,How To Stop Bedwetting: 8 Solutions for Toddlers and Kids,186,28.60469437,https://www.parents.com/toddlers-preschoolers/sleep/bed-wetting/bedwetting-myths-put-to-rest/
bedwetting in school age children,3,,74,27.78291702,https://www.healthychildren.org/English/ages-stages/toddler/toilet-training/Pages/Bedwetting.aspx
my child worries a lot,1,Children and Anxiety | Psychology Today,125,26.14397812,https://www.psychologytoday.com/us/basics/anxiety/children-and-anxiety
my child worries a lot,2,Helping Kids When They Worry  (for Parents) - Nemours KidsHealth,53,24.96327782,https://kidshealth.org/en/parents/worrying.html#catfeelings
my child worries a lot,3,Anxiety Disorders in Children: Panic Disorder,90,24.41505623,https://www.webmd.com/children/guide/anxiety-disorders-in-children#091e9c5e80e5f208-1-3
my child argues with me and screams,1,Temper Tantrums  (for Parents) - Nemours KidsHealth,48,36.90647888,https://kidshealth.org/en/parents/tantrums.html#catbehavior
my child argues with me and screams,2,Separation Anxiety in Toddlers: A Parent's Guide,193,34.50048447,https://www.parents.com/toddlers-preschoolers/starting-preschool/separation-anxiety/dealing-with-separation-anxiety/
my child argues with me and screams,3,Ending Homework Battles | Psychology Today,4,29.96887398,https://www.psychologytoday.com/us/blog/how-raise-happy-cooperative-child/201810/ending-homework-battles
defiant argumentative behavior in child,1,Parenting a Child with ADHD | Psychology Today,1,30.30361366,https://www.psychologytoday.com/us/basics/adhd/parenting-adhd-child
defiant argumentative behavior in child,2,Oppositional Defiant Disorder in Children: What to Know,17,28.93146706,https://www.parents.com/kids/development/behavioral/i-thought-my-child-was-just-misbehaving-but-it-was-really-odd/
defiant argumentative behavior in child,3,,70,28.12529564,https://www.healthychildren.org/English/ages-stages/toddler/Pages/Aggressive-Behavior.aspx
