Query,Rank,Title,DocID,Score,URL
fidgety child unable to sit still,1,Strategies and Solutions For Handling A Difficult Child,79,20.00076866,https://www.healthychildren.org/English/ages-stages/gradeschool/Pages/Strategies-and-Solutions-For-Handling-A-Difficult-Child.aspx
fidgety child unable to sit still,2,What to Do If a Child Won't Respond to Rules or Consequences | Psychology Today,6,20.00076866,https://www.psychologytoday.com/us/blog/all-grown/201808/what-do-if-child-wont-respond-rules-or-consequences
fidgety child unable to sit still,3,Strategies and Solutions For Handling A Difficult Child,120,19.45277596,https://healthychildren.org/English/ages-stages/gradeschool/Pages/Strategies-and-Solutions-For-Handling-A-Difficult-Child.aspx
child is forgetful in daily activities,1,Development Skills Every Toddler Should Have,170,17.82523537,https://www.parents.com/toddlers-preschoolers/development/toddler-development-skills/
child is forgetful in daily activities,2,Growing Independence: Tips for Parents of Young Children,113,17.59527397,https://healthychildren.org/English/ages-stages/preschool/Pages/Growing-Independence-Tips-for-Parents-of-Young-Children.aspx
child is forgetful in daily activities,3,7 Discipline Mistakes All Parents Make,182,17.5567646,https://www.parents.com/parenting/better-parenting/discipline-mistakes/
child disregards rules,1,What to Do If a Child Won't Respond to Rules or Consequences | Psychology Today,6,15.87351894,https://www.psychologytoday.com/us/blog/all-grown/201808/what-do-if-child-wont-respond-rules-or-consequences
child disregards rules,2,7 Discipline Mistakes All Parents Make,182,15.51159382,https://www.parents.com/parenting/better-parenting/discipline-mistakes/
child disregards rules,3,Growing Independence: Tips for Parents of Young Children,113,13.76713943,https://healthychildren.org/English/ages-stages/preschool/Pages/Growing-Independence-Tips-for-Parents-of-Young-Children.aspx
child not falling asleep in own bed,1,When my ‘good sleeper’ suddenly couldn’t fall asleep—I was the answer,165,15.89504051,https://www.mother.ly/parenting/when-my-good-sleeper-suddenly-couldnt-fall-asleepi-was-the-answer/
child not falling asleep in own bed,2,How to Sleep Train Toddlers and Big Kids,188,15.76016235,https://www.parents.com/toddlers-preschoolers/sleep/issues/how-to-sleep-train-toddlers-and-big-kids/
