Query,Rank,Title,DocID,score,URL
fidgety child unable to sit still,1,How to Deal With the 'Terrible Twos',175,122.127739,https://www.parents.com/toddlers-preschoolers/development/behavioral/tackle-terrible-twos/
fidgety child unable to sit still,2,How to Manage Your Toddler's Destructive Habits,177,121.9199448,https://www.parents.com/toddlers-preschoolers/development/behavioral/how-to-manage-your-toddlers-destructive-habits/
fidgety child unable to sit still,3,Why does my 4-year old have such a hard time focusing? Should I be concerned?,169,115.3205795,https://www.parents.com/toddlers-preschoolers/development/why-does-my-4-year-old-have-such-a-hard-time-focusing-should-i-be-concerned/
child is forgetful in daily activities,1,Development Skills Every Toddler Should Have,170,101.9414597,https://www.parents.com/toddlers-preschoolers/development/toddler-development-skills/
child is forgetful in daily activities,2,Why does my 4-year old have such a hard time focusing? Should I be concerned?,169,98.31216431,https://www.parents.com/toddlers-preschoolers/development/why-does-my-4-year-old-have-such-a-hard-time-focusing-should-i-be-concerned/
child is forgetful in daily activities,3,Why isn't my 2 year old talking?,172,91.71292877,https://www.parents.com/toddlers-preschoolers/development/why-isnt-my-2-year-old-talking/
child disregards rules,1,14 Tips for How to Discipline Your Toddler,16,91.96409607,https://www.parents.com/toddlers-preschoolers/discipline/tips/7-tips-for-disciplining-your-toddler/
child disregards rules,2,7 Discipline Mistakes All Parents Make,182,77.6449585,https://www.parents.com/parenting/better-parenting/discipline-mistakes/
child disregards rules,3,What to Do If a Child Won't Respond to Rules or Consequences | Psychology Today,6,76.74385071,https://www.psychologytoday.com/us/blog/all-grown/201808/what-do-if-child-wont-respond-rules-or-consequences
child not falling asleep in own bed,1,Solutions for Kids' Sleep Problems,189,118.1353302,https://www.parents.com/toddlers-preschoolers/sleep/issues/solutions-for-kids-sleep-problems/
child not falling asleep in own bed,2,How to Sleep Train Toddlers and Big Kids,188,115.3611984,https://www.parents.com/toddlers-preschoolers/sleep/issues/how-to-sleep-train-toddlers-and-big-kids/
child not falling asleep in own bed,3,When Bad Dreams Strike,190,111.5538254,https://www.parents.com/toddlers-preschoolers/sleep/issues/child-awakens-bad-dreams/
bedwetting in school age children,1,Bedwetting: 3 Common Reasons & What Families Can Do,,76.49550629,https://healthychildren.org/English/ages-stages/toddler/toilet-training/Pages/Bedwetting.aspx
bedwetting in school age children,2,How To Stop Bedwetting: 8 Solutions for Toddlers and Kids,186,76.49550629,https://www.parents.com/toddlers-preschoolers/sleep/bed-wetting/bedwetting-myths-put-to-rest/
bedwetting in school age children,3,Bedwetting: 3 Common Reasons & What Families Can Do,,72.12393188,https://www.healthychildren.org/English/ages-stages/toddler/toilet-training/Pages/Bedwetting.aspx
