Query,Rank,Title,DocID,Score,URL
fidgety child unable to sit still,1,Child Constipation Directory: Find News,88,9.587117195,https://www.webmd.com/children/child-constipation-directory
fidgety child unable to sit still,2,Toddler Won't Sit on the Potty? Try This. - Motherly,149,9.474903107,https://www.mother.ly/toddler/toddler-milestones/potty-training-tips/
fidgety child unable to sit still,3,Why does my 4-year old have such a hard time focusing? Should I be concerned?,169,9.294697762,https://www.parents.com/toddlers-preschoolers/development/why-does-my-4-year-old-have-such-a-hard-time-focusing-should-i-be-concerned/
child is forgetful in daily activities,1,Solutions for Kids' Sleep Problems,189,9.390868187,https://www.parents.com/toddlers-preschoolers/sleep/issues/solutions-for-kids-sleep-problems/
child is forgetful in daily activities,2,When Bad Dreams Strike,190,9.257548332,https://www.parents.com/toddlers-preschoolers/sleep/issues/child-awakens-bad-dreams/
child is forgetful in daily activities,3,School Anxiety in Children: Causes,192,9.230195045,https://www.parents.com/toddlers-preschoolers/starting-preschool/issues/school-anxiety/
child disregards rules,1,What to Do If a Child Won't Respond to Rules or Consequences | Psychology Today,6,6.975252151,https://www.psychologytoday.com/us/blog/all-grown/201808/what-do-if-child-wont-respond-rules-or-consequences
child disregards rules,2,7 Discipline Mistakes All Parents Make,182,6.481867313,https://www.parents.com/parenting/better-parenting/discipline-mistakes/
child disregards rules,3,14 Tips for How to Discipline Your Toddler,16,6.001337051,https://www.parents.com/toddlers-preschoolers/discipline/tips/7-tips-for-disciplining-your-toddler/
child not falling asleep in own bed,1,How to Sleep Train Toddlers and Big Kids,188,7.622770786,https://www.parents.com/toddlers-preschoolers/sleep/issues/how-to-sleep-train-toddlers-and-big-kids/
child not falling asleep in own bed,2,When Bad Dreams Strike,190,7.072655678,https://www.parents.com/toddlers-preschoolers/sleep/issues/child-awakens-bad-dreams/
child not falling asleep in own bed,3,Solutions for Kids' Sleep Problems,189,6.466119289,https://www.parents.com/toddlers-preschoolers/sleep/issues/solutions-for-kids-sleep-problems/
bedwetting in school age children,1,Bedwetting: 3 Common Reasons & What Families Can Do,,6.453475952,https://www.healthychildren.org/English/ages-stages/toddler/toilet-training/Pages/Bedwetting.aspx
bedwetting in school age children,2,How To Stop Bedwetting: 8 Solutions for Toddlers and Kids,186,6.453475952,https://www.parents.com/toddlers-preschoolers/sleep/bed-wetting/bedwetting-myths-put-to-rest/
bedwetting in school age children,3,Bedwetting: 3 Common Reasons & What Families Can Do,,5.668376446,https://healthychildren.org/English/ages-stages/toddler/toilet-training/Pages/Bedwetting.aspx
my child worries a lot,1,Helping Kids When They Worry  (for Parents) - Nemours KidsHealth,53,6.132728577,https://kidshealth.org/en/parents/worrying.html#catfeelings
my child worries a lot,2,Children and Anxiety | Psychology Today,125,6.099813461,https://www.psychologytoday.com/us/basics/anxiety/children-and-anxiety
my child worries a lot,3,Anxiety Disorders in Children: Panic Disorder,90,5.533960819,https://www.webmd.com/children/guide/anxiety-disorders-in-children#091e9c5e80e5f208-1-3
my child argues with me and screams,1,My Kid's Toddler Tantrums Are Getting Out of Hand. How Do I Help Her Express Anger In A Healthier Way?,10,5.908113003,https://www.parents.com/parenting/better-parenting/advice/ask-your-mom/my-kids-toddler-tantrums-are-getting-out-of-hand-how-do-i-help-her-express-anger-in-a-healthier-way/
my child argues with me and screams,2,How to Deal with Toddler Temper Tantrums,14,5.823628426,https://www.parents.com/toddlers-preschoolers/discipline/tantrum/a-parents-guide-to-temper-tantrums/
my child argues with me and screams,3,My Kid's Toddler Tantrums Are Getting Out of Hand. How Do I Help Her Express Anger In A Healthier Way?,10,5.823628426,https://www.parents.com/parenting/better-parenting/advice/ask-your-mom/my-kids-toddler-tantrums-are-getting-out-of-hand-how-do-i-help-her-express-anger-in-a-healthier-way/
