Query,Rank,Title,DocID,Score,URL
fidgety child unable to sit still,1,Solutions for Kids' Sleep Problems,189,33.89568329,https://www.parents.com/toddlers-preschoolers/sleep/issues/solutions-for-kids-sleep-problems/
fidgety child unable to sit still,2,How to Sleep Train Toddlers and Big Kids,188,33.28859329,https://www.parents.com/toddlers-preschoolers/sleep/issues/how-to-sleep-train-toddlers-and-big-kids/
fidgety child unable to sit still,3,How to Manage Your Toddler's Destructive Habits,177,32.81312561,https://www.parents.com/toddlers-preschoolers/development/behavioral/how-to-manage-your-toddlers-destructive-habits/
child is forgetful in daily activities,1,7 Discipline Mistakes All Parents Make,182,33.33713531,https://www.parents.com/parenting/better-parenting/discipline-mistakes/
child is forgetful in daily activities,2,How to Manage Your Toddler's Destructive Habits,177,31.89518738,https://www.parents.com/toddlers-preschoolers/development/behavioral/how-to-manage-your-toddlers-destructive-habits/
child is forgetful in daily activities,3,Solutions for Kids' Sleep Problems,189,30.68818092,https://www.parents.com/toddlers-preschoolers/sleep/issues/solutions-for-kids-sleep-problems/
child disregards rules,1,What to Do If a Child Won't Respond to Rules or Consequences | Psychology Today,6,28.95843506,https://www.psychologytoday.com/us/blog/all-grown/201808/what-do-if-child-wont-respond-rules-or-consequences
child disregards rules,2,7 Discipline Mistakes All Parents Make,182,25.78390884,https://www.parents.com/parenting/better-parenting/discipline-mistakes/
child disregards rules,3,14 Tips for How to Discipline Your Toddler,16,25.63574982,https://www.parents.com/toddlers-preschoolers/discipline/tips/7-tips-for-disciplining-your-toddler/
child not falling asleep in own bed,1,How to Sleep Train Toddlers and Big Kids,188,25.07183266,https://www.parents.com/toddlers-preschoolers/sleep/issues/how-to-sleep-train-toddlers-and-big-kids/
child not falling asleep in own bed,2,When my ‘good sleeper’ suddenly couldn’t fall asleep—I was the answer,165,23.96661377,https://www.mother.ly/parenting/when-my-good-sleeper-suddenly-couldnt-fall-asleepi-was-the-answer/
child not falling asleep in own bed,3,Solutions for Kids' Sleep Problems,189,19.50908852,https://www.parents.com/toddlers-preschoolers/sleep/issues/solutions-for-kids-sleep-problems/
bedwetting in school age children,1,Bedwetting: 3 Common Reasons & What Families Can Do,74,28.60469818,https://www.healthychildren.org/English/ages-stages/toddler/toilet-training/Pages/Bedwetting.aspx
bedwetting in school age children,2,How To Stop Bedwetting: 8 Solutions for Toddlers and Kids,186,28.60469818,https://www.parents.com/toddlers-preschoolers/sleep/bed-wetting/bedwetting-myths-put-to-rest/
bedwetting in school age children,3,Bedwetting: 3 Common Reasons & What Families Can Do,74,27.78290939,https://healthychildren.org/English/ages-stages/toddler/toilet-training/Pages/Bedwetting.aspx
my child worries a lot,1,Children and Anxiety | Psychology Today,125,26.14396858,https://www.psychologytoday.com/us/basics/anxiety/children-and-anxiety
my child worries a lot,2,Helping Kids When They Worry  (for Parents) - Nemours KidsHealth,53,24.96326828,https://kidshealth.org/en/parents/worrying.html#catfeelings
my child worries a lot,3,Anxiety Disorders in Children: Panic Disorder,90,24.41505051,https://www.webmd.com/children/guide/anxiety-disorders-in-children#091e9c5e80e5f208-1-3
my child argues with me and screams,1,My Kid's Toddler Tantrums Are Getting Out of Hand. How Do I Help Her Express Anger In A Healthier Way?,10,25.30547142,https://www.parents.com/parenting/better-parenting/advice/ask-your-mom/my-kids-toddler-tantrums-are-getting-out-of-hand-how-do-i-help-her-express-anger-in-a-healthier-way/
my child argues with me and screams,2,Preventing Temper Tantrums in Children: Strategies & Tips for Parents,91,24.53924561,https://www.webmd.com/parenting/guide/preventing-temper-tantrums-in-children
my child argues with me and screams,3,My Kid's Toddler Tantrums Are Getting Out of Hand. How Do I Help Her Express Anger In A Healthier Way?,10,24.53924561,https://www.parents.com/parenting/better-parenting/advice/ask-your-mom/my-kids-toddler-tantrums-are-getting-out-of-hand-how-do-i-help-her-express-anger-in-a-healthier-way/
defiant argumentative behavior in child,1,My Kid's Toddler Tantrums Are Getting Out of Hand. How Do I Help Her Express Anger In A Healthier Way?,10,27.89119148,https://www.parents.com/parenting/better-parenting/advice/ask-your-mom/my-kids-toddler-tantrums-are-getting-out-of-hand-how-do-i-help-her-express-anger-in-a-healthier-way/
defiant argumentative behavior in child,2,How to Avoid Power Struggles With Your Child,19,27.4767437,https://www.parents.com/kids/discipline/tantrum/how-to-avoid-power-struggles-with-your-child/
defiant argumentative behavior in child,3,My Kid's Toddler Tantrums Are Getting Out of Hand. How Do I Help Her Express Anger In A Healthier Way?,10,27.4767437,https://www.parents.com/parenting/better-parenting/advice/ask-your-mom/my-kids-toddler-tantrums-are-getting-out-of-hand-how-do-i-help-her-express-anger-in-a-healthier-way/
potty training tips for toddlers,1,6 Solutions to Your Child's Biggest Potty Training Problems,27,19.03701591,https://www.parents.com/toddlers-preschoolers/potty-training/problems/solutions-to-your-childs-biggest-potty-training/
potty training tips for toddlers,2,Toddler Won't Sit on the Potty? Try This. - Motherly,149,17.58116341,https://www.mother.ly/toddler/toddler-milestones/potty-training-tips/
potty training tips for toddlers,3,I Learned Not Trying to Potty Train is the Best Way to Potty Train,22,17.57711029,https://www.parents.com/toddlers-preschoolers/potty-training/i-learned-not-trying-to-potty-train-is-the-best-way-to-potty-train/
handling toddler tantrums,1,23 Mom-Tested Ways to Manage a Tantrum - Motherly,36,16.46438789,https://www.mother.ly/toddler/toddler-milestones/23-tantrum-taming-tips/
handling toddler tantrums,2,How to Handle a Toddler Tantrum,154,14.82510757,https://www.mother.ly/parenting/handle-toddler-tantrum/
handling toddler tantrums,3,23 Mom-Tested Ways to Manage a Tantrum - Motherly,36,14.82510757,https://www.mother.ly/toddler/toddler-milestones/23-tantrum-taming-tips/
child is distracted and cannot focus,1,Why does my 4-year old have such a hard time focusing? Should I be concerned?,169,31.55367088,https://www.parents.com/toddlers-preschoolers/development/why-does-my-4-year-old-have-such-a-hard-time-focusing-should-i-be-concerned/
child is distracted and cannot focus,2,How to Manage Your Toddler's Destructive Habits,177,29.91617012,https://www.parents.com/toddlers-preschoolers/development/behavioral/how-to-manage-your-toddlers-destructive-habits/
child is distracted and cannot focus,3,14 Tips for How to Discipline Your Toddler,16,29.75391769,https://www.parents.com/toddlers-preschoolers/discipline/tips/7-tips-for-disciplining-your-toddler/
destructive and aggressive behavior in child,1,10 Tips to Prevent Aggressive Toddler Behavior,70,27.55064583,https://www.healthychildren.org/English/ages-stages/toddler/Pages/Aggressive-Behavior.aspx
destructive and aggressive behavior in child,2,14 Tips for How to Discipline Your Toddler,16,27.2903614,https://www.parents.com/toddlers-preschoolers/discipline/tips/7-tips-for-disciplining-your-toddler/
destructive and aggressive behavior in child,3,My Kid's Toddler Tantrums Are Getting Out of Hand. How Do I Help Her Express Anger In A Healthier Way?,10,26.80964279,https://www.parents.com/parenting/better-parenting/advice/ask-your-mom/my-kids-toddler-tantrums-are-getting-out-of-hand-how-do-i-help-her-express-anger-in-a-healthier-way/
